Country of,Number 2019P,,,,,,,,,,,,,Number 2018R,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,,Country of,Receipt 2019R (Million Baht),,,,,,,,,,,,,Receipt 2018R (Million Baht),,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,,Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Aug
Vietnam," 56,192 "," 75,646 "," 82,766 "," 94,245 "," 91,300 "," 125,538 "," 126,011 "," 100,030 ",,,,," 751,728 ","58,789","63,508","82,629","89,279","92,054","121,988","122,224","102,582","75,274","73,573","75,241","71,009","733,053",- 4.42,+ 19.11,+ 0.17,+ 5.56,- 0.82,+ 2.91,+ 3.10,- 2.49,- 100.00,- 100.00,- 100.00,- 100.00,+ 2.55,,Vietnam," 1,778.08 "," 2,322.83 "," 2,558.91 "," 3,419.53 "," 3,210.45 "," 4,513.01 "," 4,081.70 "," 3,243.63 ",,,,," 25,128.14 "," 1,764.75 "," 1,906.42 "," 2,480.40 "," 3,176.58 "," 3,275.32 "," 4,340.38 "," 3,985.89 "," 3,345.34 "," 2,454.78 "," 2,443.89 "," 2,499.30 "," 2,358.73 "," 24,275.08 ",+ 0.76,+ 21.84,+ 3.17,+ 7.65,- 1.98,+ 3.98,+ 2.40,- 3.04,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.51
China," 1,069,787 "," 1,064,806 "," 985,232 "," 898,994 "," 794,913 "," 836,742 "," 983,752 "," 1,031,675 ",,,,," 7,665,901 ","969,996","1,198,971","1,004,025","986,703","869,206","900,652","929,808","867,750","647,711","646,583","675,143","838,693","7,727,111",+ 10.29,- 11.19,- 1.87,- 8.89,- 8.55,- 7.10,+ 5.80,+ 18.89,- 100.00,- 100.00,- 100.00,- 100.00,- 0.79,,China," 54,850.89 "," 53,868.04 "," 50,005.14 "," 41,687.88 "," 36,282.47 "," 37,673.07 "," 52,619.15 "," 54,887.89 ",,,,," 381,874.53 "," 47,986.31 "," 59,235.60 "," 49,658.05 "," 44,427.44 "," 39,176.41 "," 40,581.74 "," 48,961.04 "," 45,709.97 "," 34,195.96 "," 32,647.11 "," 34,075.52 "," 42,256.52 "," 375,736.56 ",+ 14.31,- 9.06,+ 0.70,- 6.17,- 7.39,- 7.17,+ 7.47,+ 20.08,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.63
Hong Kong," 60,464 "," 80,543 "," 74,295 "," 88,945 "," 84,897 "," 102,546 "," 108,027 "," 121,806 ",,,,," 721,523 ","55,505","65,824","89,466","69,357","83,137","101,241","104,629","124,837","84,182","72,333","75,832","89,406","693,996",+ 8.93,+ 22.36,- 16.96,+ 28.24,+ 2.12,+ 1.29,+ 3.25,- 2.43,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.97,,Hong Kong," 2,487.17 "," 3,308.43 "," 3,079.43 "," 2,888.82 "," 2,772.51 "," 3,256.78 "," 4,585.19 "," 5,147.78 ",,,,," 27,526.11 "," 2,205.74 "," 2,615.81 "," 3,555.33 "," 2,183.35 "," 2,617.14 "," 3,187.06 "," 4,471.33 "," 5,334.92 "," 3,597.52 "," 2,778.60 "," 2,913.00 "," 3,434.43 "," 26,170.68 ",+ 12.76,+ 26.48,- 13.39,+ 32.31,+ 5.94,+ 2.19,+ 2.55,- 3.51,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.18
Japan," 154,948 "," 161,839 "," 157,890 "," 149,597 "," 116,440 "," 123,665 "," 134,395 "," 198,399 ",,,,," 1,197,173 ","143,809","144,884","144,482","119,053","109,084","118,508","128,145","181,550","141,741","122,035","148,816","153,994","1,089,515",+ 7.75,+ 11.70,+ 9.28,+ 25.66,+ 6.74,+ 4.35,+ 4.88,+ 9.28,- 100.00,- 100.00,- 100.00,- 100.00,+ 9.88,,Japan," 7,557.35 "," 7,702.43 "," 7,462.42 "," 7,438.48 "," 5,790.35 "," 6,154.31 "," 6,520.34 "," 9,608.94 ",,,,," 58,234.62 "," 6,476.21 "," 6,524.62 "," 6,506.52 "," 5,772.03 "," 5,288.70 "," 5,745.60 "," 6,217.57 "," 8,805.00 "," 6,864.98 "," 6,432.35 "," 7,858.23 "," 8,125.78 "," 51,336.25 ",+ 16.69,+ 18.05,+ 14.69,+ 28.87,+ 9.49,+ 7.11,+ 4.87,+ 9.13,- 100.00,- 100.00,- 100.00,- 100.00,+ 13.44
Korea," 208,158 "," 184,406 "," 144,524 "," 118,145 "," 111,911 "," 140,243 "," 166,107 "," 180,418 ",,,,," 1,253,912 ","197,620","159,983","143,644","115,859","122,680","141,555","153,524","164,137","135,484","132,018","154,562","175,360","1,199,002",+ 5.33,+ 15.27,+ 0.61,+ 1.97,- 8.78,- 0.93,+ 8.20,+ 9.92,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.58,,Korea," 8,623.67 "," 7,743.47 "," 6,077.22 "," 3,910.47 "," 3,797.28 "," 4,761.28 "," 7,079.42 "," 7,590.00 ",,,,," 49,582.81 "," 8,184.32 "," 6,625.61 "," 5,948.94 "," 3,884.51 "," 4,113.21 "," 4,746.05 "," 6,557.14 "," 7,009.05 "," 5,784.55 "," 5,254.73 "," 6,152.06 "," 6,979.88 "," 47,068.83 ",+ 5.37,+ 16.87,+ 2.16,+ 0.67,- 7.68,+ 0.32,+ 7.97,+ 8.29,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.34
Taiwan," 63,097 "," 72,006 "," 63,701 "," 65,691 "," 56,268 "," 69,845 "," 67,836 "," 71,930 ",,,,," 530,374 ","48,157","60,044","61,118","60,378","53,034","60,270","61,239","62,191","56,290","53,641","52,335","59,051","466,431",+ 31.02,+ 19.92,+ 4.23,+ 8.80,+ 6.10,+ 15.89,+ 10.77,+ 15.66,- 100.00,- 100.00,- 100.00,- 100.00,+ 13.71,,Taiwan," 2,844.26 "," 3,299.21 "," 2,937.84 "," 2,900.49 "," 2,533.29 "," 3,041.24 "," 2,982.80 "," 3,148.04 ",,,,," 23,687.17 "," 2,197.79 "," 2,740.29 "," 2,789.30 "," 2,628.45 "," 2,308.74 "," 2,623.75 "," 2,863.47 "," 2,907.99 "," 2,632.07 "," 2,506.23 "," 2,445.20 "," 2,758.99 "," 21,059.78 ",+ 29.41,+ 20.40,+ 5.33,+ 10.35,+ 9.73,+ 15.91,+ 4.17,+ 8.25,- 100.00,- 100.00,- 100.00,- 100.00,+ 12.48
Others," 8,883 "," 7,850 "," 7,825 "," 8,291 "," 7,649 "," 8,599 "," 11,620 "," 14,834 ",,,,," 75,551 ","7,144","6,148","7,098","5,134","5,653","7,049","8,959","11,359","6,453","5,518","6,749","10,936","58,544",+ 24.34,+ 27.68,+ 10.24,+ 61.49,+ 35.31,+ 21.99,+ 29.70,+ 30.59,- 100.00,- 100.00,- 100.00,- 100.00,+ 29.05,,Others, 427.53 , 377.36 , 379.19 , 393.89 , 363.72 , 411.09 , 541.72 , 688.56 ,,,,," 3,583.06 ", 357.02 , 307.25 , 354.73 , 242.50 , 267.01 , 332.95 , 432.42 , 548.25 , 311.46 , 291.30 , 356.30 , 577.34 ," 2,842.13 ",+ 19.75,+ 22.82,+ 6.90,+ 62.43,+ 36.22,+ 23.47,+ 25.28,+ 25.59,- 100.00,- 100.00,- 100.00,- 100.00,+ 26.07
Europe," 886,324 "," 833,932 "," 719,535 "," 516,369 "," 284,395 "," 297,379 "," 439,204 "," 418,356 ",,,,," 4,395,494 ","898,351","828,433","766,505","507,919","303,105","295,289","447,198","433,389","305,808","458,853","668,698","846,783","4,480,189",- 1.34,+ 0.66,- 6.13,+ 1.66,- 6.17,+ 0.71,- 1.79,- 3.47,- 100.00,- 100.00,- 100.00,- 100.00,- 1.89,,Europe," 63,646.31 "," 58,698.14 "," 50,558.33 "," 32,933.31 "," 18,135.43 "," 18,925.47 "," 31,583.67 "," 29,262.68 ",,,,," 303,743.34 "," 63,683.33 "," 58,501.79 "," 54,144.04 "," 31,931.61 "," 19,091.73 "," 18,928.12 "," 32,450.12 "," 30,659.47 "," 22,111.17 "," 32,500.58 "," 47,607.67 "," 61,384.18 "," 309,390.21 ",- 0.06,+ 0.34,- 6.62,+ 3.14,- 5.01,- 0.01,- 2.67,- 4.56,- 100.00,- 100.00,- 100.00,- 100.00,- 1.83
Austria," 15,855 "," 16,149 "," 10,708 "," 7,718 "," 4,082 "," 4,226 "," 8,144 "," 7,093 ",,,,," 73,975 ","16,727","16,369","12,273","7,851","4,539","3,974","9,028","7,639","5,049","7,175","10,777","15,255","78,400",- 5.21,- 1.34,- 12.75,- 1.69,- 10.07,+ 6.34,- 9.79,- 7.15,- 100.00,- 100.00,- 100.00,- 100.00,- 5.64,,Austria," 1,255.72 "," 1,256.60 ", 840.11 , 586.98 , 312.49 , 313.36 , 546.90 , 475.30 ,,,,," 5,587.46 "," 1,284.61 "," 1,257.12 ", 942.55 , 583.25 , 337.21 , 295.23 , 650.93 , 550.79 , 364.04 , 545.43 , 819.24 ," 1,159.66 "," 5,901.69 ",- 2.25,- 0.04,- 10.87,+ 0.64,- 7.33,+ 6.14,- 15.98,- 13.71,- 100.00,- 100.00,- 100.00,- 100.00,- 5.32
Belgium," 10,694 "," 10,198 "," 10,132 "," 10,880 "," 4,983 "," 7,041 "," 14,701 "," 8,311 ",,,,," 76,940 ","11,328","10,305","10,124","9,650","4,884","6,213","14,620","9,001","6,415","7,797","11,273","12,660","76,125",- 5.60,- 1.04,+ 0.08,+ 12.75,+ 2.03,+ 13.33,+ 0.55,- 7.67,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.07,,Belgium, 710.84 , 666.00 , 667.16 , 657.00 , 302.87 , 414.21 , 957.57 , 540.19 ,,,,," 4,915.84 ", 749.68 , 681.98 , 670.00 , 588.14 , 297.66 , 378.67 ," 1,004.60 ", 618.50 , 440.81 , 518.18 , 749.20 , 841.39 ," 4,989.23 ",- 5.18,- 2.34,- 0.42,+ 11.71,+ 1.75,+ 9.39,- 4.68,- 12.66,- 100.00,- 100.00,- 100.00,- 100.00,- 1.47
